function,scale,data,algorithm,iteration,dist_y_mean,dist_y_std,dist_x_mean,dist_x_std
Sphere,raw,clean,random,64,0.6771057797771298,0.5953388721199538,0.7407187345838733,0.3583874105121374
Sphere,raw,clean,random,65,0.6759132439030718,0.5961123528810423,0.7396102554701529,0.3590124146968275
Sphere,raw,clean,random,66,0.6759132439030718,0.5961123528810423,0.7396102554701529,0.3590124146968275
Sphere,raw,clean,random,67,0.6376395698343227,0.5818915512465932,0.7171524925980813,0.35118637814511183
Sphere,raw,clean,random,68,0.6376395698343227,0.5818915512465932,0.7171524925980813,0.35118637814511183
Sphere,raw,clean,random,69,0.6376395698343227,0.5818915512465932,0.7171524925980813,0.35118637814511183
Sphere,raw,clean,random,70,0.6376395698343227,0.5818915512465932,0.7171524925980813,0.35118637814511183
Sphere,raw,clean,random,71,0.625341758972924,0.5881476559836617,0.7043877500879622,0.35941571543122935
Sphere,raw,clean,random,72,0.625341758972924,0.5881476559836617,0.7043877500879622,0.35941571543122935
Sphere,raw,clean,random,73,0.601772215539583,0.5795308063961192,0.690338794110446,0.35384257076518966
Sphere,raw,clean,random,74,0.601772215539583,0.5795308063961192,0.690338794110446,0.35384257076518966
Sphere,raw,clean,random,75,0.5902220830661498,0.5832498469611896,0.6805643224157172,0.3564467507510561
Sphere,raw,clean,random,76,0.5902220830661498,0.5832498469611896,0.6805643224157172,0.3564467507510561
Sphere,raw,clean,random,77,0.555299757740675,0.5544834983325768,0.6610965714914165,0.34387654892849173
Sphere,raw,clean,random,78,0.526944830905583,0.556788752464594,0.6380184787703835,0.346232944205355
Sphere,raw,clean,random,79,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,80,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,81,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,82,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,83,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,84,0.5263971172224808,0.5564342229857804,0.6377276853746784,0.34597762431859086
Sphere,raw,clean,random,85,0.5103976213769964,0.5574206927215407,0.6253695023053221,0.34541367512504506
Sphere,raw,clean,random,86,0.506676534235877,0.5525936527477378,0.6236896760454533,0.3430564417558639
Sphere,raw,clean,random,87,0.506676534235877,0.5525936527477378,0.6236896760454533,0.3430564417558639
Sphere,raw,clean,random,88,0.47452777955350045,0.45164437266441004,0.6123691470505584,0.3154866198336657
Sphere,raw,clean,random,89,0.4743844822713831,0.4517426381309581,0.6121925942838474,0.31560213842018836
Sphere,raw,clean,random,90,0.4743844822713831,0.4517426381309581,0.6121925942838474,0.31560213842018836
Sphere,raw,clean,random,91,0.4743844822713831,0.4517426381309581,0.6121925942838474,0.31560213842018836
Sphere,raw,clean,random,92,0.4637786337677416,0.4481468905549737,0.6053061475389948,0.31206265639970787
Sphere,raw,clean,random,93,0.4637786337677416,0.4481468905549737,0.6053061475389948,0.31206265639970787
Sphere,raw,clean,random,94,0.4386609969244229,0.43579381511644755,0.585629741793502,0.30935223039651577
Sphere,raw,clean,random,95,0.4386609969244229,0.43579381511644755,0.585629741793502,0.30935223039651577
Sphere,raw,clean,random,96,0.43606281076754383,0.437505623406492,0.5821854830822696,0.31164543002554723
Sphere,raw,clean,random,97,0.4084284069736989,0.4341738675075731,0.5582124550357747,0.3111707923578823
Sphere,raw,clean,random,98,0.4084284069736989,0.4341738675075731,0.5582124550357747,0.3111707923578823
Sphere,raw,clean,random,99,0.4018149396547054,0.4152270215744295,0.5556125262032271,0.3051387559468211
Sphere,raw,clean,random,100,0.4018149396547054,0.4152270215744295,0.5556125262032271,0.3051387559468211
Sphere,raw,clean,tpe,1,14.58303947577094,10.459770534031772,3.515133022400945,1.4922732023987226
Sphere,raw,clean,tpe,2,9.702643852155333,6.950675488312924,2.8811186714938897,1.1839759511597447
Sphere,raw,clean,tpe,3,7.314559066863543,5.027775293385117,2.523099351024614,0.9739243973341638
Sphere,raw,clean,tpe,4,6.313537656710989,4.766706695505805,2.3196493377892353,0.9657973940764959
Sphere,raw,clean,tpe,5,5.202883476444895,3.868291411849613,2.096174172669908,0.8994094252766767
Sphere,raw,clean,tpe,6,4.618158214172945,3.619062114083397,1.9684325110002578,0.8622248336774837
Sphere,raw,clean,tpe,7,4.109871485840564,3.2164832349189103,1.866947837173824,0.7901754609658194
Sphere,raw,clean,tpe,8,3.477200923248721,2.8263031051906315,1.7085220833129098,0.7470965225998818
Sphere,raw,clean,tpe,9,3.3483008654572433,2.80093201176857,1.6696989201194492,0.7486029532463706
Sphere,raw,clean,tpe,10,3.1729264212621033,2.5744649295442583,1.6333394807582036,0.7107239702293888
Sphere,raw,clean,tpe,11,2.6338393039744075,2.1997461437359824,1.4888227513187855,0.6459459103748314
Sphere,raw,clean,tpe,12,2.0504327681791885,1.8867058548452085,1.2979107351580277,0.6048640274811662
Sphere,raw,clean,tpe,13,1.7822237583119023,1.9046433809837156,1.17442131747046,0.6347899868325363
Sphere,raw,clean,tpe,14,1.5792529464714002,1.7120626066424076,1.0948395558010058,0.6169110904537674
Sphere,raw,clean,tpe,15,1.4205175187236616,1.4472813643354951,1.0375413934738016,0.5865367640243054
Sphere,raw,clean,tpe,16,1.2593232844161484,1.2834717626994543,0.9648592550116234,0.5730356903671562
Sphere,raw,clean,tpe,17,1.185060995923974,1.1638870103154304,0.9372012060775031,0.5538184677769854
Sphere,raw,clean,tpe,18,1.167463781966272,1.1588254242572675,0.9249651953549157,0.5584829176871168
Sphere,raw,clean,tpe,19,1.1357576439608301,1.1399062963509958,0.9118512774931964,0.5516202422816403
Sphere,raw,clean,tpe,20,1.1056248079324886,1.139355510119764,0.8912757570536303,0.5578999308307601
Sphere,raw,clean,tpe,21,0.992461260194323,1.086789216964004,0.8362821814407735,0.5413809871051848
Sphere,raw,clean,tpe,22,0.9716504207077729,1.0908327216078468,0.8204538584046505,0.546356922658343
Sphere,raw,clean,tpe,23,0.9384481224130916,1.066314559915717,0.8013552487422807,0.5443141443378898
Sphere,raw,clean,tpe,24,0.9076875132708042,1.0583526051140852,0.7811653683284745,0.5454064361510993
Sphere,raw,clean,tpe,25,0.8806353092889251,1.044697011435828,0.7635769652598625,0.5455140029490203
Sphere,raw,clean,tpe,26,0.8192996898706296,0.9824817851849974,0.7341865578058688,0.5294051267298034
Sphere,raw,clean,tpe,27,0.7999760366088167,0.9608433940586056,0.7211791579116518,0.5290337028986503
Sphere,raw,clean,tpe,28,0.7671565535457128,0.9337740901017854,0.6987846567600967,0.5280687048314704
Sphere,raw,clean,tpe,29,0.7183417784223923,0.9011570354407468,0.6715521114339944,0.5170682160517471
Sphere,raw,clean,tpe,30,0.6956867596468514,0.8716854807674516,0.6589116772049928,0.5113923750797962
Sphere,raw,clean,tpe,31,0.6636851073136072,0.8606204870855433,0.6374602008792919,0.5072766499737003
Sphere,raw,clean,tpe,32,0.6415523711729746,0.84156440815463,0.623684558679532,0.5025633715639174
Sphere,raw,clean,tpe,33,0.614467853443805,0.8252418094124641,0.6066462619826261,0.4964354603232044
Sphere,raw,clean,tpe,34,0.5968907088388616,0.7967266097993644,0.5964025759826451,0.4911157462351689
Sphere,raw,clean,tpe,35,0.5780041434484383,0.7865450781065292,0.5823485444384212,0.4887477020292683
Sphere,raw,clean,tpe,36,0.5479991170357271,0.7574185751296094,0.5650156009440883,0.47828494407154176
Sphere,raw,clean,tpe,37,0.5340221986907648,0.7374980497610355,0.5573242400790182,0.4726646698359313
Sphere,raw,clean,tpe,38,0.5236540462142737,0.7326309361687099,0.5504944026477182,0.4696913442547198
Sphere,raw,clean,tpe,39,0.5024722364500256,0.7089733193353103,0.5375436941145246,0.4620811761668463
Sphere,raw,clean,tpe,40,0.49083149860597963,0.7053110711701517,0.5277178482237644,0.46080947393913196
Sphere,raw,clean,tpe,41,0.47085414948881654,0.6905560865018251,0.5135036968056377,0.4551572287196593
Sphere,raw,clean,tpe,42,0.46477111100114216,0.6914885848635671,0.5061030842025285,0.45676118394827575
Sphere,raw,clean,tpe,43,0.45350554971763096,0.6863784968323796,0.4972722623604625,0.45412096054304557
Sphere,raw,clean,tpe,44,0.4281185576639682,0.6306130864749744,0.4847812645815038,0.4394379173156617
Sphere,raw,clean,tpe,45,0.41504968429970995,0.6279169916387115,0.47357302774705756,0.43678172087462025
Sphere,raw,clean,tpe,46,0.4055023845716027,0.6129976839619677,0.46694993553936015,0.4329666757054059
Sphere,raw,clean,tpe,47,0.3924644391415611,0.5999106639117873,0.4587264804219079,0.4266549604789449
Sphere,raw,clean,tpe,48,0.3776217792889517,0.5775739715886093,0.4496321283124562,0.41887077778016774
Sphere,raw,clean,tpe,49,0.3628871453127473,0.5450062403417447,0.44214350320845436,0.4091408900162666
Sphere,raw,clean,tpe,50,0.35435908997992094,0.5374483511056906,0.4353170779216055,0.4060272548114421
Sphere,raw,clean,tpe,51,0.34517345600302823,0.5338879031548979,0.42686826240641323,0.40367925702611696
Sphere,raw,clean,tpe,52,0.33864072465967804,0.5219939428934465,0.42077955730610717,0.40197672670560736
Sphere,raw,clean,tpe,53,0.33218006076938983,0.5166245787296637,0.4161431519993848,0.3987542323454471
Sphere,raw,clean,tpe,54,0.3180311124474844,0.50838925219137,0.4041071625793544,0.3933554545186168
Sphere,raw,clean,tpe,55,0.31197157310271095,0.5033756959942298,0.4000345891145873,0.3897998212090846
Sphere,raw,clean,tpe,56,0.30663318465817824,0.4969248084016125,0.39572528178885497,0.3873431114803895
Sphere,raw,clean,tpe,57,0.29859609986547836,0.4829227742902789,0.39128390422782394,0.3814354547727694
Sphere,raw,clean,tpe,58,0.29442446605591943,0.4817205072469187,0.38679504879491317,0.380544420907284
Sphere,raw,clean,tpe,59,0.28537808645134477,0.47092437990781155,0.3798176106716774,0.375654986756469
Sphere,raw,clean,tpe,60,0.27702967387856303,0.46208580034230423,0.373634403005345,0.37071148723691116
Sphere,raw,clean,tpe,61,0.2701873263377587,0.458061754847986,0.36713429945362036,0.36796702637934575
Sphere,raw,clean,tpe,62,0.26133192738874134,0.4410824022429792,0.36069587268559383,0.36225738752483605
Sphere,raw,clean,tpe,63,0.25529895854984885,0.4340862571072175,0.35555116111609414,0.3590018528905472
Sphere,raw,clean,tpe,64,0.2507151646454644,0.42765595493409114,0.35130420536405416,0.3567919841294011
Sphere,raw,clean,tpe,65,0.24525801050998075,0.4247051472866047,0.3460282937922497,0.35429144839412263
Sphere,raw,clean,tpe,66,0.23810515135278304,0.4125269878854814,0.3407883786196952,0.3492397920491626
Sphere,raw,clean,tpe,67,0.23420260206605178,0.41009747024768156,0.336583644753741,0.3477269793247847
Sphere,raw,clean,tpe,68,0.2296588254352552,0.40484180443167533,0.3315456633292211,0.3460293319399989
Sphere,raw,clean,tpe,69,0.2253577001159641,0.4031303690754392,0.32595951963469555,0.34512040170856695
Sphere,raw,clean,tpe,70,0.21824171304435083,0.39151025184177657,0.32106940932314587,0.33934664790039853
Sphere,raw,clean,tpe,71,0.21468748822328518,0.39075738937035126,0.3155099118764022,0.33932430465710844
Sphere,raw,clean,tpe,72,0.2100029187916601,0.38467631150958936,0.3107387836776143,0.3368149745931984
Sphere,raw,clean,tpe,73,0.20859827536565395,0.38490006908193575,0.3083785544940538,0.3368990093393149
Sphere,raw,clean,tpe,74,0.20582022848499854,0.385591427499752,0.30281579317206303,0.3378206978421733
Sphere,raw,clean,tpe,75,0.20160664033541778,0.37316321832455246,0.2976097662167278,0.336206881827012
Sphere,raw,clean,tpe,76,0.19897072009086314,0.3696528658562179,0.29500578139788713,0.33457780714309965
Sphere,raw,clean,tpe,77,0.19676564432157392,0.36512344552572407,0.2935386382972237,0.33256685365229294
Sphere,raw,clean,tpe,78,0.1953230318094343,0.36404590222267946,0.2921195037157092,0.3316462382695183
Sphere,raw,clean,tpe,79,0.19035930453221814,0.3598835552744565,0.287333475244386,0.3283272430612513
Sphere,raw,clean,tpe,80,0.18898315924205647,0.35840421376201353,0.2856481473085897,0.3277015336876329
Sphere,raw,clean,tpe,81,0.18664320727340006,0.35598960112499994,0.28224052625475177,0.3270833114251488
Sphere,raw,clean,tpe,82,0.18470945912203873,0.3509398279295822,0.2799156464085113,0.3261237342140924
Sphere,raw,clean,tpe,83,0.17721050245339154,0.3323830922236725,0.2755243034984669,0.3182716774001046
Sphere,raw,clean,tpe,84,0.17207684327054765,0.3293500617540307,0.2694067298922722,0.3154312241349926
Sphere,raw,clean,tpe,85,0.17113667213286668,0.3295899169240596,0.267311524591384,0.31572332975802814
Sphere,raw,clean,tpe,86,0.1675659475231389,0.3223042995404452,0.2635598172811898,0.31321265976624374
Sphere,raw,clean,tpe,87,0.16331717923613756,0.3158622280039365,0.26047170404454084,0.3089849035604664
Sphere,raw,clean,tpe,88,0.1615184347492967,0.30852782249187827,0.25960653382667,0.3067945278908977
Sphere,raw,clean,tpe,89,0.15890159180004962,0.3048970063981768,0.25673850224349404,0.3049375891322961
Sphere,raw,clean,tpe,90,0.15667819354427265,0.30344190576848035,0.25378701692969086,0.3037603390540006
Sphere,raw,clean,tpe,91,0.1555282776440775,0.3036506474433507,0.2516790313918391,0.30362138067294137
Sphere,raw,clean,tpe,92,0.1524127000069469,0.2981767310893834,0.248600695408812,0.3010156046606255
Sphere,raw,clean,tpe,93,0.15230316561435,0.29809779401563347,0.24837988105766617,0.30101594691997563
Sphere,raw,clean,tpe,94,0.14601263145048082,0.2899216896218748,0.2433326290928438,0.2946215590706921
Sphere,raw,clean,tpe,95,0.14319882331557549,0.2850809861177561,0.2412541077303764,0.29153949787086386
Sphere,raw,clean,tpe,96,0.14177520508051455,0.28484312358721436,0.23942982826095363,0.2906003482782579
Sphere,raw,clean,tpe,97,0.14083205216979194,0.28366155076110855,0.2386954441152139,0.2895799321921889
Sphere,raw,clean,tpe,98,0.1407811935513325,0.28368172610812054,0.23854417902515948,0.28961676091784666
Sphere,raw,clean,tpe,99,0.1399014862889051,0.28304410901512633,0.23758372298448438,0.2888865882344434
Sphere,raw,clean,tpe,100,0.13921742643043136,0.28294086670752144,0.2364253175211941,0.2886528982453388
Sphere,raw,clean,tpe_w_smooth,1,14.58303947577094,10.459770534031772,3.515133022400945,1.4922732023987226
Sphere,raw,clean,tpe_w_smooth,2,9.702643852155333,6.950675488312924,2.8811186714938897,1.1839759511597447
Sphere,raw,clean,tpe_w_smooth,3,7.314559066863543,5.027775293385117,2.523099351024614,0.9739243973341638
Sphere,raw,clean,tpe_w_smooth,4,6.313537656710989,4.766706695505805,2.3196493377892353,0.9657973940764959
Sphere,raw,clean,tpe_w_smooth,5,5.202883476444895,3.868291411849613,2.096174172669908,0.8994094252766767
Sphere,raw,clean,tpe_w_smooth,6,4.618158214172945,3.619062114083397,1.9684325110002578,0.8622248336774837
Sphere,raw,clean,tpe_w_smooth,7,4.109871485840564,3.2164832349189103,1.866947837173824,0.7901754609658194
Sphere,raw,clean,tpe_w_smooth,8,3.477200923248721,2.8263031051906315,1.7085220833129098,0.7470965225998818
Sphere,raw,clean,tpe_w_smooth,9,3.3483008654572433,2.80093201176857,1.6696989201194492,0.7486029532463706
Sphere,raw,clean,tpe_w_smooth,10,3.1729264212621033,2.5744649295442583,1.6333394807582036,0.7107239702293888
Sphere,raw,clean,tpe_w_smooth,11,2.7384710694496626,2.234973915764274,1.5198340853271322,0.6546567211352087
Sphere,raw,clean,tpe_w_smooth,12,2.050508135672162,1.8522523506310364,1.3028873600848039,0.5941318562435558
Sphere,raw,clean,tpe_w_smooth,13,1.8202178501627158,1.8463313863443624,1.2060895177756337,0.6046204803630585
Sphere,raw,clean,tpe_w_smooth,14,1.6596529377445415,1.7311084468944926,1.1384016195573552,0.6030710491589959
Sphere,raw,clean,tpe_w_smooth,15,1.4963058763145163,1.473938470772219,1.0811870484655537,0.5721367341334245
Sphere,raw,clean,tpe_w_smooth,16,1.400357148234533,1.4634585829118907,1.0288102962329737,0.5847277337355855
Sphere,raw,clean,tpe_w_smooth,17,1.329553908913357,1.3696921488619622,1.0021060120335334,0.5703835986067667
Sphere,raw,clean,tpe_w_smooth,18,1.3070963421450477,1.3662745646401078,0.9880787577938083,0.575149294133004
Sphere,raw,clean,tpe_w_smooth,19,1.2956984783287542,1.3623617083598172,0.9816878834610661,0.5761834584526756
Sphere,raw,clean,tpe_w_smooth,20,1.2376978645816394,1.3588148032941418,0.9500942759730145,0.5788080263307971
Sphere,raw,clean,tpe_w_smooth,21,1.1199547273394679,1.190304327939588,0.8980467753059953,0.5598809844082678
Sphere,raw,clean,tpe_w_smooth,22,1.095624310239851,1.1879957553700946,0.8832734883746228,0.5616513642593386
Sphere,raw,clean,tpe_w_smooth,23,1.0620496087269733,1.1482795313311245,0.866033065673375,0.5586021284307368
Sphere,raw,clean,tpe_w_smooth,24,1.0284964731773811,1.11330290442811,0.8471885302622454,0.5574657544365191
Sphere,raw,clean,tpe_w_smooth,25,0.9950970647133992,1.1057412789505274,0.825688301831361,0.5597641404486736
Sphere,raw,clean,tpe_w_smooth,26,0.9467146925076283,1.089732487490436,0.7982259136986878,0.5563722523702305
Sphere,raw,clean,tpe_w_smooth,27,0.9302351798162778,1.0741664604321277,0.7870174667676938,0.5575290905583669
Sphere,raw,clean,tpe_w_smooth,28,0.8866424098633398,1.0360174823370463,0.7636875800643359,0.550839078060751
Sphere,raw,clean,tpe_w_smooth,29,0.865145414453097,1.0360022071646062,0.7467845001558016,0.5544892467669204
Sphere,raw,clean,tpe_w_smooth,30,0.8402691348682053,1.0063134660876993,0.7340757990248805,0.5490007797391446
Sphere,raw,clean,tpe_w_smooth,31,0.8058037331602467,0.9914330144281392,0.7132167771894192,0.5450922508124515
Sphere,raw,clean,tpe_w_smooth,32,0.7802506428254639,0.9774934579662147,0.6959242273822781,0.5440037799205472
Sphere,raw,clean,tpe_w_smooth,33,0.7535419984359756,0.9585063381639782,0.6826845389383931,0.5361751754142009
Sphere,raw,clean,tpe_w_smooth,34,0.729004393773813,0.9333895531695388,0.670139344208964,0.5290724460005384
Sphere,raw,clean,tpe_w_smooth,35,0.718430220314587,0.9288889650260349,0.6609927779427731,0.5305834221138865
Sphere,raw,clean,tpe_w_smooth,36,0.67200703065059,0.877592072988138,0.6377550174699649,0.5150490931381929
Sphere,raw,clean,tpe_w_smooth,37,0.6405741987943143,0.8293954904052537,0.6231354319743504,0.5022712735290105
Sphere,raw,clean,tpe_w_smooth,38,0.6259039406264191,0.8205563325595085,0.6151589054499026,0.4974770966306861
Sphere,raw,clean,tpe_w_smooth,39,0.6118951136590749,0.8104723866537555,0.6061928904629506,0.4943938644555048
Sphere,raw,clean,tpe_w_smooth,40,0.5937634098537068,0.7996577726386506,0.5927417766282302,0.4923622610368467
Sphere,raw,clean,tpe_w_smooth,41,0.5703584251766841,0.7757752083163726,0.5791687574648643,0.48468750298856406
Sphere,raw,clean,tpe_w_smooth,42,0.5555626585981268,0.7703909692685067,0.5694664882115738,0.4809059964297643
Sphere,raw,clean,tpe_w_smooth,43,0.5330169110204632,0.7347245353254772,0.5567709006761881,0.4722531896987987
Sphere,raw,clean,tpe_w_smooth,44,0.5176986433037737,0.7167485234166365,0.5471926890976797,0.4672031724012837
Sphere,raw,clean,tpe_w_smooth,45,0.4951386042759696,0.7045735229929937,0.5342763463579463,0.4579163569893235
Sphere,raw,clean,tpe_w_smooth,46,0.4860927663788359,0.6899540784414684,0.5287645596048409,0.4544235985121531
Sphere,raw,clean,tpe_w_smooth,47,0.4771037535333481,0.6843107256100119,0.5223526385813618,0.4519418928362776
Sphere,raw,clean,tpe_w_smooth,48,0.45872367052775415,0.6552310287678623,0.5135321986337084,0.4415974994202116
Sphere,raw,clean,tpe_w_smooth,49,0.44478374507839663,0.6415043096662442,0.5059646592791743,0.43449224232304273
Sphere,raw,clean,tpe_w_smooth,50,0.4312721000242675,0.620801452914767,0.4970383321328145,0.42921439446376625
Sphere,raw,clean,tpe_w_smooth,51,0.42230985953904976,0.6132325803848605,0.4900545933093606,0.42679779183525196
Sphere,raw,clean,tpe_w_smooth,52,0.4108319220001315,0.610058131857061,0.4802988271442784,0.4244348697314609
Sphere,raw,clean,tpe_w_smooth,53,0.40192774953828025,0.6067453223669454,0.4740821201264469,0.4209202928283377
Sphere,raw,clean,tpe_w_smooth,54,0.38526066969162287,0.5897072331026769,0.4629517310455703,0.4134445118919018
Sphere,raw,clean,tpe_w_smooth,55,0.3781836053005854,0.586797153143635,0.45783313497433176,0.4105757248305857
Sphere,raw,clean,tpe_w_smooth,56,0.37331404180084937,0.5802401282351624,0.4530100666669665,0.4099950259445107
Sphere,raw,clean,tpe_w_smooth,57,0.36375450294613265,0.5583276509022689,0.4485796260311329,0.4031511156575184
Sphere,raw,clean,tpe_w_smooth,58,0.36044942840751387,0.5544662003430217,0.44652697639826605,0.40132665966284414
Sphere,raw,clean,tpe_w_smooth,59,0.34983962049491024,0.5512908615982243,0.4370582737033201,0.3985218762908556
Sphere,raw,clean,tpe_w_smooth,60,0.3412118294318453,0.544960935285596,0.4309208471402383,0.39435904063655575
Sphere,raw,clean,tpe_w_smooth,61,0.33370234905625507,0.543551402190893,0.42349489344306773,0.39287965623572296
