function,algorithm,data,raw_final_dist_y,norm_final_dist_y,delta_norm_minus_raw,identical
Ackley,optuna,clean,0.655040082307394,0.655040082307394,0.0,True
Ackley,optuna,noisy_y,0.7507739889329019,0.7507739889329019,0.0,True
Ackley,random,clean,2.8428880268160013,2.8428880268160013,0.0,True
Ackley,random,noisy_y,2.8439408016970713,2.8439408016970713,0.0,True
Ackley,tpe,clean,2.042863358600144,2.042863358600144,0.0,True
Ackley,tpe,noisy_y,1.812258156492881,1.812258156492881,0.0,True
Ackley,tpe_gp,clean,0.45454781391004745,1.2778031875859794,0.823255373675932,False
Ackley,tpe_gp,noisy_y,0.4187245330666055,1.2698734483453054,0.8511489152786998,False
Ackley,tpe_gp_refine,clean,0.4358888459711438,0.8890473961929913,0.45315855022184753,False
Ackley,tpe_gp_refine,noisy_y,0.2954162579506707,0.914826494675927,0.6194102367252563,False
Ackley,tpe_gp_w,clean,0.3910857208825279,1.388255270049804,0.9971695491672762,False
Ackley,tpe_gp_w,noisy_y,0.45132139273171135,1.7159020433515355,1.2645806506198243,False
Ackley,tpe_refine,clean,0.7898302395971846,0.7898302395971846,0.0,True
Ackley,tpe_refine,noisy_y,1.0653369286203163,1.0653369286203163,0.0,True
Ackley,tpe_w_sign,clean,1.603391867767721,1.603391867767721,0.0,True
Ackley,tpe_w_sign,noisy_y,1.4761600241966508,1.4761600241966508,0.0,True
Ackley,tpe_w_sign_inv,clean,1.6743254437421813,1.6743254437421813,0.0,True
Ackley,tpe_w_sign_inv,noisy_y,1.5328066665926041,1.5328066665926041,0.0,True
Ackley,tpe_w_smooth,clean,1.4293828494223768,1.4293828494223768,0.0,True
Ackley,tpe_w_smooth,noisy_y,1.455684655479252,1.455684655479252,0.0,True
Ackley,tpe_w_smooth_inv,clean,2.0730771153604355,2.0730771153604355,0.0,True
Ackley,tpe_w_smooth_inv,noisy_y,1.6200732111316487,1.6200732111316487,0.0,True
Rastrigin,optuna,clean,2.580262827027068,2.580262827027068,0.0,True
Rastrigin,optuna,noisy_y,2.523196795949552,2.523196795949552,0.0,True
