function,scale,data,algorithm,tpe_final_dist_y,algo_final_dist_y,delta_dist_y(algo-tpe),better_than_tpe,tpe_success_%,algo_success_%
Rastrigin,norm,noisy_y,tpe_w_sign_inv,3.4525819597844234,2.70055041825935,-0.7520315415250733,True,16.0,20.0
Rastrigin,norm,noisy_y,tpe_refine,3.4525819597844234,1.1892754498663702,-2.263306509918053,True,16.0,52.0
Rastrigin,norm,noisy_y,tpe_gp,3.4525819597844234,3.1675422599194474,-0.285039699864976,True,16.0,18.0
Rastrigin,norm,noisy_y,tpe_gp_w,3.4525819597844234,2.9510265888494933,-0.5015553709349301,True,16.0,12.0
Rastrigin,norm,noisy_y,tpe_gp_refine,3.4525819597844234,1.248343684554239,-2.2042382752301846,True,16.0,48.0
Rastrigin,norm,noisy_y,optuna,3.4525819597844234,2.523196795949552,-0.9293851638348714,True,16.0,12.0
Rastrigin,raw,clean,random,2.775240780608079,5.459565676995542,2.6843248963874626,False,28.0,2.0
Rastrigin,raw,clean,tpe_w_smooth,2.775240780608079,3.4301479896983555,0.6549072090902763,False,28.0,8.0
Rastrigin,raw,clean,tpe_w_smooth_inv,2.775240780608079,2.7212570576876316,-0.05398372292044762,True,28.0,36.0
Rastrigin,raw,clean,tpe_w_sign,2.775240780608079,3.915322013736018,1.1400812331279386,False,28.0,8.0
Rastrigin,raw,clean,tpe_w_sign_inv,2.775240780608079,2.5528184352414565,-0.22242234536662275,True,28.0,26.0
Rastrigin,raw,clean,tpe_refine,2.775240780608079,1.1359422649248934,-1.6392985156831859,True,28.0,76.0
Rastrigin,raw,clean,tpe_gp,2.775240780608079,3.5992373363164716,0.8239965557083924,False,28.0,8.0
Rastrigin,raw,clean,tpe_gp_w,2.775240780608079,2.1266429529094775,-0.6485978276986017,True,28.0,20.0
Rastrigin,raw,clean,tpe_gp_refine,2.775240780608079,1.2257523182915342,-1.549488462316545,True,28.0,58.0
Rastrigin,raw,clean,optuna,2.775240780608079,2.580262827027068,-0.19497795358101122,True,28.0,10.0
Rastrigin,raw,noisy_y,random,3.4525819597844234,5.465372308843582,2.0127903490591588,False,16.0,2.0
Rastrigin,raw,noisy_y,tpe_w_smooth,3.4525819597844234,3.43533789452351,-0.017244065260913377,True,16.0,8.0
Rastrigin,raw,noisy_y,tpe_w_smooth_inv,3.4525819597844234,2.914139546217707,-0.5384424135667163,True,16.0,24.0
Rastrigin,raw,noisy_y,tpe_w_sign,3.4525819597844234,3.7691299788757435,0.31654801909132013,False,16.0,4.0
Rastrigin,raw,noisy_y,tpe_w_sign_inv,3.4525819597844234,2.70055041825935,-0.7520315415250733,True,16.0,20.0
Rastrigin,raw,noisy_y,tpe_refine,3.4525819597844234,1.1892754498663702,-2.263306509918053,True,16.0,52.0
Rastrigin,raw,noisy_y,tpe_gp,3.4525819597844234,3.4559164282747212,0.003334468490297837,False,16.0,12.0
Rastrigin,raw,noisy_y,tpe_gp_w,3.4525819597844234,2.200383994412726,-1.2521979653716975,True,16.0,18.0
Rastrigin,raw,noisy_y,tpe_gp_refine,3.4525819597844234,1.520629208269345,-1.9319527515150785,True,16.0,44.0
Rastrigin,raw,noisy_y,optuna,3.4525819597844234,2.523196795949552,-0.9293851638348714,True,16.0,12.0
Rosenbrock,norm,clean,random,1.5334927336041315,0.6698747523891597,-0.8636179812149718,True,8.0,12.0
Rosenbrock,norm,clean,tpe_w_smooth,1.5334927336041315,1.3788344703940598,-0.1546582632100717,True,8.0,14.0
Rosenbrock,norm,clean,tpe_w_smooth_inv,1.5334927336041315,1.3759123362873495,-0.15758039731678197,True,8.0,18.0
Rosenbrock,norm,clean,tpe_w_sign,1.5334927336041315,1.5885173003305701,0.05502456672643863,False,8.0,8.0
Rosenbrock,norm,clean,tpe_w_sign_inv,1.5334927336041315,1.531436153641392,-0.0020565799627394465,True,8.0,14.0
Rosenbrock,norm,clean,tpe_refine,1.5334927336041315,0.3954332309867403,-1.1380595026173912,True,8.0,24.0
Rosenbrock,norm,clean,tpe_gp,1.5334927336041315,1.7802611852702348,0.24676845166610328,False,8.0,12.0
Rosenbrock,norm,clean,tpe_gp_w,1.5334927336041315,1.4704131759076686,-0.0630795576964629,True,8.0,10.0
Rosenbrock,norm,clean,tpe_gp_refine,1.5334927336041315,0.5047583203228136,-1.0287344132813179,True,8.0,26.0
Rosenbrock,norm,clean,optuna,1.5334927336041315,0.3044636175335981,-1.2290291160705333,True,8.0,32.0
Rosenbrock,norm,noisy_y,random,1.593265384672433,0.6714857965370316,-0.9217795881354014,True,10.0,12.0
Rosenbrock,norm,noisy_y,tpe_w_smooth,1.593265384672433,1.4831938049035338,-0.11007157976889914,True,10.0,16.0
Rosenbrock,norm,noisy_y,tpe_w_smooth_inv,1.593265384672433,1.4605918358696497,-0.13267354880278326,True,10.0,12.0
Rosenbrock,norm,noisy_y,tpe_w_sign,1.593265384672433,1.6505449928294624,0.05727960815702948,False,10.0,12.0
Rosenbrock,norm,noisy_y,tpe_w_sign_inv,1.593265384672433,1.6204408060926954,0.027175421420262413,False,10.0,12.0
Rosenbrock,norm,noisy_y,tpe_refine,1.593265384672433,0.428365861717043,-1.16489952295539,True,10.0,18.0
Rosenbrock,norm,noisy_y,tpe_gp,1.593265384672433,1.865089748384704,0.27182436371227103,False,10.0,12.0
Rosenbrock,norm,noisy_y,tpe_gp_w,1.593265384672433,1.455449699596235,-0.137815685076198,True,10.0,10.0
Rosenbrock,norm,noisy_y,tpe_gp_refine,1.593265384672433,0.4575078205485788,-1.1357575641238542,True,10.0,26.0
Rosenbrock,norm,noisy_y,optuna,1.593265384672433,0.3558029493990125,-1.2374624352734205,True,10.0,26.0
Rosenbrock,raw,clean,random,1.5334927336041315,0.6698747523891597,-0.8636179812149718,True,8.0,12.0
Rosenbrock,raw,clean,tpe_w_smooth,1.5334927336041315,1.3788344703940598,-0.1546582632100717,True,8.0,14.0
Rosenbrock,raw,clean,tpe_w_smooth_inv,1.5334927336041315,1.3759123362873495,-0.15758039731678197,True,8.0,18.0
Rosenbrock,raw,clean,tpe_w_sign,1.5334927336041315,1.5885173003305701,0.05502456672643863,False,8.0,8.0
Rosenbrock,raw,clean,tpe_w_sign_inv,1.5334927336041315,1.531436153641392,-0.0020565799627394465,True,8.0,14.0
Rosenbrock,raw,clean,tpe_refine,1.5334927336041315,0.3954332309867403,-1.1380595026173912,True,8.0,24.0
Rosenbrock,raw,clean,tpe_gp,1.5334927336041315,0.4135313791373027,-1.1199613544668288,True,8.0,34.0
Rosenbrock,raw,clean,tpe_gp_w,1.5334927336041315,0.2953991781274778,-1.2380935554766537,True,8.0,8.0
Rosenbrock,raw,clean,tpe_gp_refine,1.5334927336041315,0.22606400070729996,-1.3074287328968315,True,8.0,14.0
Rosenbrock,raw,clean,optuna,1.5334927336041315,0.3044636175335981,-1.2290291160705333,True,8.0,32.0
Rosenbrock,raw,noisy_y,random,1.593265384672433,0.6714857965370316,-0.9217795881354014,True,10.0,12.0
Rosenbrock,raw,noisy_y,tpe_w_smooth,1.593265384672433,1.4831938049035338,-0.11007157976889914,True,10.0,16.0
Rosenbrock,raw,noisy_y,tpe_w_smooth_inv,1.593265384672433,1.4605918358696497,-0.13267354880278326,True,10.0,12.0
Rosenbrock,raw,noisy_y,tpe_w_sign,1.593265384672433,1.6505449928294624,0.05727960815702948,False,10.0,12.0
Rosenbrock,raw,noisy_y,tpe_w_sign_inv,1.593265384672433,1.6204408060926954,0.027175421420262413,False,10.0,12.0
Rosenbrock,raw,noisy_y,tpe_refine,1.593265384672433,0.428365861717043,-1.16489952295539,True,10.0,18.0
Rosenbrock,raw,noisy_y,tpe_gp,1.593265384672433,0.26565534520959205,-1.327610039462841,True,10.0,32.0
Rosenbrock,raw,noisy_y,tpe_gp_w,1.593265384672433,0.3182892497951548,-1.2749761348772781,True,10.0,8.0
Rosenbrock,raw,noisy_y,tpe_gp_refine,1.593265384672433,0.22998531548039622,-1.3632800691920368,True,10.0,12.0
Rosenbrock,raw,noisy_y,optuna,1.593265384672433,0.3558029493990125,-1.2374624352734205,True,10.0,26.0
Sphere,norm,clean,random,0.13921742643043136,0.4018149396547054,0.26259751322427405,False,36.0,0.0
Sphere,norm,clean,tpe_w_smooth,0.13921742643043136,0.17651135907980314,0.03729393264937178,False,36.0,20.0
Sphere,norm,clean,tpe_w_smooth_inv,0.13921742643043136,0.09303700231306573,-0.04618042411736563,True,36.0,46.0
Sphere,norm,clean,tpe_w_sign,0.13921742643043136,0.16480901039146642,0.025591583961035058,False,36.0,28.0
Sphere,norm,clean,tpe_w_sign_inv,0.13921742643043136,0.09180290853717231,-0.04741451789325905,True,36.0,48.0
Sphere,norm,clean,tpe_refine,0.13921742643043136,6.981375018238293e-07,-0.13921672829292953,True,36.0,100.0
Sphere,norm,clean,tpe_gp,0.13921742643043136,0.08401909168599955,-0.05519833474443181,True,36.0,46.0
Sphere,norm,clean,tpe_gp_w,0.13921742643043136,0.1011173963145859,-0.038100030115845465,True,36.0,28.0
Sphere,norm,clean,tpe_gp_refine,0.13921742643043136,4.024059781758686e-07,-0.13921702402445318,True,36.0,100.0
Sphere,norm,clean,optuna,0.13921742643043136,0.017046580011705597,-0.12217084641872576,True,36.0,6.0
Sphere,norm,noisy_y,random,0.12596344881942817,0.4018149396547054,0.2758514908352772,False,26.0,0.0
Sphere,norm,noisy_y,tpe_w_smooth,0.12596344881942817,0.1707873965550171,0.044823947735588926,False,26.0,16.0
Sphere,norm,noisy_y,tpe_w_smooth_inv,0.12596344881942817,0.09846080276407976,-0.027502646055348412,True,26.0,24.0
Sphere,norm,noisy_y,tpe_w_sign,0.12596344881942817,0.19986892855082516,0.073905479731397,False,26.0,22.0
Sphere,norm,noisy_y,tpe_w_sign_inv,0.12596344881942817,0.09838565300426291,-0.027577795815165257,True,26.0,36.0
Sphere,norm,noisy_y,tpe_refine,0.12596344881942817,0.0006047158139672782,-0.12535873300546088,True,26.0,98.0
Sphere,norm,noisy_y,tpe_gp,0.12596344881942817,0.08345063844481239,-0.04251281037461578,True,26.0,32.0
Sphere,norm,noisy_y,tpe_gp_w,0.12596344881942817,0.08862268201572196,-0.03734076680370621,True,26.0,24.0
Sphere,norm,noisy_y,tpe_gp_refine,0.12596344881942817,0.001070240838695779,-0.12489320798073239,True,26.0,96.0
Sphere,norm,noisy_y,optuna,0.12596344881942817,0.017140003117461666,-0.1088234457019665,True,26.0,8.0
Sphere,raw,clean,random,0.13921742643043136,0.4018149396547054,0.26259751322427405,False,36.0,0.0
Sphere,raw,clean,tpe_w_smooth,0.13921742643043136,0.17651135907980314,0.03729393264937178,False,36.0,20.0
Sphere,raw,clean,tpe_w_smooth_inv,0.13921742643043136,0.09303700231306573,-0.04618042411736563,True,36.0,46.0
Sphere,raw,clean,tpe_w_sign,0.13921742643043136,0.16480901039146642,0.025591583961035058,False,36.0,28.0
Sphere,raw,clean,tpe_w_sign_inv,0.13921742643043136,0.09180290853717231,-0.04741451789325905,True,36.0,48.0
Sphere,raw,clean,tpe_refine,0.13921742643043136,6.981375018238293e-07,-0.13921672829292953,True,36.0,100.0
Sphere,raw,clean,tpe_gp,0.13921742643043136,0.0032012486515039015,-0.13601617777892747,True,36.0,84.0
Sphere,raw,clean,tpe_gp_w,0.13921742643043136,0.0021066413702993912,-0.13711078506013197,True,36.0,82.0
Sphere,raw,clean,tpe_gp_refine,0.13921742643043136,1.541955738204822e-06,-0.13921588447469316,True,36.0,100.0
Sphere,raw,clean,optuna,0.13921742643043136,0.017046580011705597,-0.12217084641872576,True,36.0,6.0
Sphere,raw,noisy_y,random,0.12596344881942817,0.4018149396547054,0.2758514908352772,False,26.0,0.0
Sphere,raw,noisy_y,tpe_w_smooth,0.12596344881942817,0.1707873965550171,0.044823947735588926,False,26.0,16.0
Sphere,raw,noisy_y,tpe_w_smooth_inv,0.12596344881942817,0.09846080276407976,-0.027502646055348412,True,26.0,24.0
Sphere,raw,noisy_y,tpe_w_sign,0.12596344881942817,0.19986892855082516,0.073905479731397,False,26.0,22.0
Sphere,raw,noisy_y,tpe_w_sign_inv,0.12596344881942817,0.09838565300426291,-0.027577795815165257,True,26.0,36.0
Sphere,raw,noisy_y,tpe_refine,0.12596344881942817,0.0006047158139672782,-0.12535873300546088,True,26.0,98.0
Sphere,raw,noisy_y,tpe_gp,0.12596344881942817,0.004551425927027845,-0.12141202289240033,True,26.0,58.0
Sphere,raw,noisy_y,tpe_gp_w,0.12596344881942817,0.00557817798498346,-0.12038527083444471,True,26.0,56.0
Sphere,raw,noisy_y,tpe_gp_refine,0.12596344881942817,0.0007766028843163953,-0.12518684593511178,True,26.0,98.0
Sphere,raw,noisy_y,optuna,0.12596344881942817,0.017140003117461666,-0.1088234457019665,True,26.0,8.0
